N,GPU,CPU,Speedup
3777, 0.000066, 0.000068, 1.030303
3785, 0.000100, 0.000068, 0.680000
3793, 0.000097, 0.000067, 0.690722
3801, 0.000067, 0.000069, 1.029851
3809, 0.000100, 0.000068, 0.680000
3817, 0.000123, 0.000069, 0.560976
3825, 0.000099, 0.000067, 0.676768
3833, 0.000095, 0.000068, 0.715789
3841, 0.000100, 0.000072, 0.720000
3849, 0.000065, 0.000069, 1.061538
3857, 0.000068, 0.000068, 1.000000
3865, 0.000100, 0.000070, 0.700000
3873, 0.000097, 0.000071, 0.731959
3881, 0.000100, 0.000073, 0.730000
3889, 0.000094, 0.000069, 0.734043
3897, 0.000091, 0.000068, 0.747253
3905, 0.000092, 0.000070, 0.760870
3913, 0.000099, 0.000068, 0.686869
3921, 0.000070, 0.000071, 1.014286
3929, 0.000069, 0.000072, 1.043478
3937, 0.000097, 0.000071, 0.731959
3945, 0.000094, 0.000069, 0.734043
3953, 0.000094, 0.000070, 0.744681
3961, 0.000065, 0.000072, 1.107692
3969, 0.000063, 0.000071, 1.126984
3977, 0.000072, 0.000074, 1.027778
3985, 0.000063, 0.000072, 1.142857
3993, 0.000062, 0.000077, 1.241935
4001, 0.000065, 0.000071, 1.092308
4009, 0.000093, 0.000071, 0.763441
4017, 0.000065, 0.000071, 1.092308
4025, 0.000094, 0.000071, 0.755319
4033, 0.000096, 0.000074, 0.770833
4041, 0.000093, 0.000073, 0.784946
4049, 0.000065, 0.000071, 1.092308
4057, 0.000067, 0.000073, 1.089552
4065, 0.000093, 0.000072, 0.774194
4073, 0.000092, 0.000075, 0.815217
4081, 0.000098, 0.000074, 0.755102
4089, 0.000094, 0.000073, 0.776596
4097, 0.000091, 0.000072, 0.791209
4105, 0.000065, 0.000075, 1.153846
4113, 0.000096, 0.000075, 0.781250
4121, 0.000091, 0.000072, 0.791209
4129, 0.000095, 0.000075, 0.789474
4137, 0.000094, 0.000075, 0.797872
4145, 0.000094, 0.000074, 0.787234
4153, 0.000095, 0.000074, 0.778947
4161, 0.000093, 0.000075, 0.806452
4169, 0.000092, 0.000075, 0.815217
4177, 0.000094, 0.000075, 0.797872
4185, 0.000094, 0.000075, 0.797872
4193, 0.000094, 0.000077, 0.819149
4201, 0.000063, 0.000079, 1.253968
4209, 0.000067, 0.000075, 1.119403
4217, 0.000067, 0.000076, 1.134328
4225, 0.000098, 0.000080, 0.816327
4233, 0.000099, 0.000075, 0.757576
4241, 0.000065, 0.000076, 1.169231
4249, 0.000100, 0.000075, 0.750000
4257, 0.000105, 0.000077, 0.733333
4265, 0.000096, 0.000076, 0.791667
4273, 0.000102, 0.000076, 0.745098
4281, 0.000108, 0.000077, 0.712963
4289, 0.000094, 0.000077, 0.819149
4297, 0.000095, 0.000076, 0.800000
4305, 0.000065, 0.000080, 1.230769
4313, 0.000099, 0.000075, 0.757576
4321, 0.000063, 0.000080, 1.269841
4329, 0.000095, 0.000080, 0.842105
4337, 0.000102, 0.000077, 0.754902
4345, 0.000096, 0.000081, 0.843750
4353, 0.000095, 0.000078, 0.821053
4361, 0.000110, 0.000078, 0.709091
4369, 0.000098, 0.000082, 0.836735
4377, 0.000096, 0.000078, 0.812500
4385, 0.000064, 0.000081, 1.265625
4393, 0.000100, 0.000080, 0.800000
4401, 0.000099, 0.000081, 0.818182
4409, 0.000117, 0.000080, 0.683761
4417, 0.000066, 0.000076, 1.151515
4425, 0.000094, 0.000080, 0.851064
4433, 0.000095, 0.000080, 0.842105
4441, 0.000100, 0.000081, 0.810000
4449, 0.000097, 0.000079, 0.814433
4457, 0.000100, 0.000081, 0.810000
4465, 0.000098, 0.000079, 0.806122
4473, 0.000097, 0.000078, 0.804124
4481, 0.000099, 0.000079, 0.797980
4489, 0.000103, 0.000081, 0.786408
4497, 0.000093, 0.000082, 0.881720
4505, 0.000098, 0.000082, 0.836735
4513, 0.000097, 0.000082, 0.845361
4521, 0.000093, 0.000081, 0.870968
4529, 0.000093, 0.000081, 0.870968
4537, 0.000095, 0.000081, 0.852632
4545, 0.000100, 0.000082, 0.820000
4553, 0.000099, 0.000082, 0.828283
4561, 0.000104, 0.000080, 0.769231
4569, 0.000098, 0.000079, 0.806122
4577, 0.000100, 0.000082, 0.820000
4585, 0.000096, 0.000079, 0.822917
4593, 0.000064, 0.000084, 1.312500
4601, 0.000101, 0.000083, 0.821782
4609, 0.000092, 0.000080, 0.869565
4617, 0.000099, 0.000081, 0.818182
4625, 0.000100, 0.000084, 0.840000
4633, 0.000099, 0.000081, 0.818182
4641, 0.000096, 0.000082, 0.854167
4649, 0.000099, 0.000082, 0.828283
4657, 0.000147, 0.000081, 0.551020
4665, 0.000098, 0.000085, 0.867347
4673, 0.000102, 0.000088, 0.862745
4681, 0.000092, 0.000082, 0.891304
4689, 0.000096, 0.000083, 0.864583
4697, 0.000099, 0.000086, 0.868687
4705, 0.000095, 0.000082, 0.863158
4713, 0.000098, 0.000085, 0.867347
4721, 0.000095, 0.000090, 0.947368
4729, 0.000068, 0.000082, 1.205882
4737, 0.000066, 0.000085, 1.287879
4745, 0.000098, 0.000085, 0.867347
4753, 0.000102, 0.000085, 0.833333
4761, 0.000100, 0.000085, 0.850000
4769, 0.000100, 0.000084, 0.840000
4777, 0.000097, 0.000083, 0.855670
4785, 0.000069, 0.000092, 1.333333
4793, 0.000095, 0.000085, 0.894737
4801, 0.000093, 0.000087, 0.935484
4809, 0.000098, 0.000086, 0.877551
4817, 0.000092, 0.000087, 0.945652
4825, 0.000095, 0.000086, 0.905263
4833, 0.000099, 0.000084, 0.848485
4841, 0.000093, 0.000085, 0.913978
4849, 0.000091, 0.000087, 0.956044
4857, 0.000064, 0.000088, 1.375000
4865, 0.000072, 0.000085, 1.180556
4873, 0.000066, 0.000085, 1.287879
4881, 0.000065, 0.000086, 1.323077
4889, 0.000063, 0.000088, 1.396825
4897, 0.000062, 0.000089, 1.435484
4905, 0.000068, 0.000088, 1.294118
4913, 0.000063, 0.000086, 1.365079
4921, 0.000096, 0.000090, 0.937500
4929, 0.000096, 0.000085, 0.885417
4937, 0.000098, 0.000087, 0.887755
4945, 0.000097, 0.000086, 0.886598
4953, 0.000092, 0.000089, 0.967391
4961, 0.000093, 0.000089, 0.956989
4969, 0.000064, 0.000092, 1.437500
4977, 0.000092, 0.000086, 0.934783
4985, 0.000091, 0.000088, 0.967033
4993, 0.000093, 0.000088, 0.946237
5001, 0.000092, 0.000090, 0.978261
5009, 0.000091, 0.000090, 0.989011
5017, 0.000099, 0.000093, 0.939394
5025, 0.000065, 0.000089, 1.369231
5033, 0.000064, 0.000088, 1.375000
5041, 0.000062, 0.000093, 1.500000
5049, 0.000100, 0.000091, 0.910000
5057, 0.000066, 0.000089, 1.348485
5065, 0.000065, 0.000091, 1.400000
5073, 0.000097, 0.000090, 0.927835
5081, 0.000096, 0.000090, 0.937500
5089, 0.000087, 0.000092, 1.057471
5097, 0.000067, 0.000093, 1.388060
5105, 0.000088, 0.000097, 1.102273
5113, 0.000098, 0.000092, 0.938776
5121, 0.000091, 0.000088, 0.967033
5129, 0.000097, 0.000090, 0.927835
5137, 0.000064, 0.000094, 1.468750
5145, 0.000093, 0.000089, 0.956989
5153, 0.000071, 0.000090, 1.267606
5161, 0.000094, 0.000094, 1.000000
5169, 0.000070, 0.000094, 1.342857
5177, 0.000093, 0.000092, 0.989247
5185, 0.000089, 0.000092, 1.033708
5193, 0.000094, 0.000096, 1.021277
5201, 0.000070, 0.000096, 1.371429
5209, 0.000091, 0.000095, 1.043956
5217, 0.000093, 0.000089, 0.956989
5225, 0.000093, 0.000094, 1.010753
5233, 0.000092, 0.000092, 1.000000
5241, 0.000092, 0.000093, 1.010870
5249, 0.000089, 0.000093, 1.044944
5257, 0.000090, 0.000096, 1.066667
5265, 0.000092, 0.000093, 1.010870
5273, 0.000091, 0.000093, 1.021978
5281, 0.000071, 0.000091, 1.281690
5289, 0.000073, 0.000096, 1.315068
5297, 0.000092, 0.000095, 1.032609
5305, 0.000093, 0.000092, 0.989247
5313, 0.000071, 0.000097, 1.366197
5321, 0.000072, 0.000097, 1.347222
5329, 0.000089, 0.000093, 1.044944
5337, 0.000091, 0.000098, 1.076923
5345, 0.000089, 0.000096, 1.078652
5353, 0.000093, 0.000096, 1.032258
5361, 0.000096, 0.000101, 1.052083
5369, 0.000094, 0.000098, 1.042553
5377, 0.000092, 0.000101, 1.097826
5385, 0.000093, 0.000099, 1.064516
5393, 0.000094, 0.000096, 1.021277
5401, 0.000094, 0.000097, 1.031915
5409, 0.000095, 0.000101, 1.063158
5417, 0.000093, 0.000096, 1.032258
5425, 0.000074, 0.000099, 1.337838
5433, 0.000073, 0.000096, 1.315068
5441, 0.000092, 0.000100, 1.086957
5449, 0.000075, 0.000099, 1.320000
5457, 0.000097, 0.000098, 1.010309
5465, 0.000073, 0.000097, 1.328767
5473, 0.000097, 0.000096, 0.989691
5481, 0.000094, 0.000099, 1.053191
5489, 0.000073, 0.000097, 1.328767
